Part Number,Manufacturer,Description,Quantity
CL10B104KB8NNWC,Samsung Electro-Mechanics,"Ceramic Capacitor, Multilayer, Ceramic, 50V, 10% +Tol, 10% -Tol, X7R, +-15% TC, 100nF, Surface Mount, 0603 inch",11
GMC10X5R106M25NT,Cal-Chip Electronics,"Ceramic Capacitor, Multilayer, Ceramic, 25V, 20% +Tol, 20% -Tol, X5R, 15% TC, 10uF, Surface Mount, 0603",1
TMK107B7105KA-T,TAIYO YUDEN,25V 1uF X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,1
B1931UD--05D000314U1930,Harvatek,Led Orange Diffused 0603 SMD,1
HTST-106-01-L-DV,Samtec,"Pin Header, Wire-to-Board, 2.54 mm, 2 Rows, 12 Contacts, Surface Mount, HTST",1
SPG08P4HM4H-1,Knowles,Baracus Mic Multimode Dig Top Pt,8
WR06X000 PTL,Walsin Technologies,"Fixed Resistor, Metal Glaze/thick Film, 0.1W, 0ohm, Surface Mount, 0603, CHIP, ROHS COMPLIANT",8
2176177-5,TE Connectivity / AMP,Res Thick Film 0603 330 Ohm 1% 0.2W(1/5W) ±100ppm/C Pad SMD T/R,1
CRGH0603J10K,TE Connectivity,Res Thick Film 0603 10K Ohm 5% 0.2W(1/5W) ±100ppm/C Pad SMD T/R Automotive AEC-Q200,1
MAX8891EXK33+T,Analog Devices,Low-Dropout Linear Regulators Designed for Ultra-Low Noise in a SC70 Package,1
LMK1C1108PWR,Texas Instruments,Clock Buffer 8-channel output LVCMOS 1.8-V buffer 16-TSSOP -40 to 125,1
